,bvid,owner,type,type_name,title,view,favorite,coin,share,time,length
7,BV17i4y1t7aD,38351330,27,综合,小红是一个妈宝男,893146,5134,8788,2159,2020-04-15 13:29:28,01:07
4,BV1qK4y1r7Rb,38351330,27,综合,小红去米国插队,1747892,19273,64674,8452,2020-04-07 03:01:57,01:09
3,BV157411176Q,38351330,27,综合,当代恶臭大数据时代,1649237,18234,47293,8219,2020-03-25 18:45:09,01:24
9,BV1bE411A77r,38351330,27,综合,雪花,991796,7560,13889,2229,2020-03-20 18:21:34,01:09
0,BV1cE411M7hu,38351330,27,综合,万物有灵合集（1-3）,851508,8148,20889,2618,2020-03-10 14:32:20,05:16
2,BV11E411E7PS,38351330,27,综合,万物有灵第二集之反杀的翔子,802968,4836,12476,1278,2020-03-02 00:26:45,01:57
8,BV1p7411c7zD,38351330,27,综合,小红敲鼓,1222726,10934,31680,4264,2020-02-22 18:56:42,01:28
5,BV1J7411J7fg,38351330,27,综合,小红的新冠状病毒肺炎记忆,3502336,92699,302203,13485,2020-02-15 15:04:38,02:25
6,BV1Z7411n7vX,38351330,27,综合,万物有灵（上）,1401057,9613,23113,2665,2020-02-05 13:06:04,02:14
11,BV1FJ411r7Lb,38351330,27,综合,小红的年终总结,2355457,15692,66884,2549,2019-12-17 21:03:06,01:23
1,BV1AJ411v7AJ,38351330,27,综合,破案了 阿伟的死因找到了,6589367,159161,860948,17585,2019-12-08 03:15:31,01:17
10,BV1aJ411Q7Go,38351330,27,综合,小红是一个绿茶婊,4361213,39934,169485,16034,2019-11-29 23:22:23,01:09
13,BV1PJ411o7Th,38351330,27,综合,小红变小丑,2113047,15418,38041,6223,2019-11-23 23:57:12,01:38
12,BV1hJ411D7sr,38351330,27,综合,换灯泡的小红,2280568,13395,36033,4917,2019-11-15 16:29:31,01:38
16,BV1PE411q72q,38351330,27,综合,罪恶的轮回,6917256,120114,257310,42816,2019-11-08 01:41:32,02:48
14,BV1GE411t7A1,38351330,21,日常,百万特辑 女装兑现（狗头）,1694721,8412,25195,1663,2019-11-01 23:17:50,00:46
15,BV1aE411a7no,38351330,27,综合,借优杂货店之情书,1757305,14452,28498,7327,2019-10-26 18:52:17,02:03
18,BV16E411r7wL,38351330,27,综合,合群,4347655,42023,67724,18190,2019-10-18 01:45:36,02:03
17,BV1NE411f779,38351330,27,综合,小红是一个阅读理解零分的人,3515144,14748,23381,9408,2019-10-09 19:16:51,01:11
20,BV16E411X7PQ,38351330,27,综合,祖国！ 我爱...（破音）你！,754190,4066,12249,858,2019-10-01 00:52:14,00:26
22,BV1CJ411K7fm,38351330,27,综合,铅与铅寻,3163783,18521,35271,6676,2019-09-25 20:27:44,01:37
19,BV1eJ411379r,38351330,27,综合,佛系是怎样炼成的,3538378,18277,40929,8072,2019-09-19 21:56:55,01:14
23,BV18J411P7tn,38351330,27,综合,呐喊,2718045,12361,24121,4289,2019-09-12 12:54:14,01:07
21,BV1N441117CD,38351330,27,综合,莫得感情的小红花,2607471,46395,101515,20080,2019-09-06 20:06:32,02:03
24,BV1U4411r7iQ,38351330,27,综合,住在底层的小红上当了,2586606,16058,43077,6867,2019-08-24 20:15:31,01:07
25,BV1q4411R77a,38351330,27,综合,有时盲目的善良会适得其反,3476343,18621,50702,5517,2019-08-20 03:03:09,01:12
26,BV1r4411X7RR,38351330,27,综合,夹娃娃的小红！,3121424,20609,60246,7638,2019-08-10 19:46:11,01:03
27,BV1Gt411T7xd,38351330,27,综合,牛郎只做了这件事 织女就爱上他了,2378074,14783,38925,12519,2019-08-07 04:21:46,01:08
28,BV13t411u7D1,38351330,27,综合,近日 疑似盗版《蒲公英的约定》MV在坊间流传,3594866,80767,162118,40865,2019-08-02 21:08:09,03:38
29,BV16t411A7EK,38351330,27,综合,大能与哆事A梦之瞬移手雷,2336154,9731,24184,3325,2019-07-26 13:28:57,00:59
30,BV1Qt411E7yp,38351330,27,综合,不可忽视的外在力量,3992205,17592,34147,7007,2019-07-21 19:23:56,01:11
34,BV1et411G78P,38351330,27,综合,学期末 老师果然还是把奖状颁给了他,1211076,10890,41776,4391,2019-07-16 16:42:07,01:04
35,BV1wt411L7oY,38351330,27,综合,攀比风气的蝴蝶效应,4505883,28982,49328,10787,2019-07-12 15:49:37,01:50
31,BV1F4411F7Yi,38351330,138,搞笑,不栓绳的狗主这回碰上硬茬了！,3512496,37784,86170,20779,2019-07-07 23:25:24,00:55
33,BV1Rx411X7uD,38351330,27,综合,小小的垃圾分类竟道出国人心声！,4789833,46570,89385,16455,2019-07-02 19:32:21,01:16
32,BV1xx411R7xg,38351330,27,综合,鬼才销售 卖火柴的小女孩,6522015,126535,222780,62785,2019-06-30 19:00:16,01:17
36,BV1dx411R74b,38351330,171,电子竞技,疾风弟弟传第五集之魄罗罗之卷（下）,618487,984,3584,417,2019-06-26 22:59:42,00:59
38,BV1e4411G7k4,38351330,27,综合,被诅咒的盗视频狗倒霉的一生,2480726,12080,35036,1248,2019-06-18 17:35:21,00:57
37,BV1L441157gi,38351330,137,明星,揭秘我国明星爱豆现状,4473961,45504,79910,14490,2019-06-16 18:59:44,00:55
39,BV1J4411V7B4,38351330,171,电子竞技,疾风弟弟传第四集之魄罗罗之卷（中）,483888,889,2802,461,2019-06-14 21:23:04,01:07
40,BV1K4411K7HF,38351330,27,综合,最受长辈欢迎的7号小朋友后来果然混的风生水起,2649538,20295,27267,11921,2019-06-11 01:08:11,01:52
41,BV1b4411K7R4,38351330,27,综合,中国多数穷二代青年的现实困境,1703420,25454,33388,15945,2019-06-07 12:18:10,01:17
42,BV1E4411M77j,38351330,171,电子竞技,疾风孤儿传第三集-魄罗罗之卷,470119,781,1581,453,2019-06-05 11:07:28,00:46
47,BV134411p75G,38351330,47,短片·手书·配音,儿童节前夕一名LOL玩家闯入小学校园冲上讲台演讲,1950037,5846,8518,3752,2019-06-01 00:36:53,00:50
46,BV1n4411H7oK,38351330,171,电子竞技,我的德莱文可能腿脚不便,1034179,814,1052,630,2019-05-30 00:41:05,00:14
45,BV1S4411p7Uo,38351330,171,电子竞技,魔改lol同人-疾风孤儿传之命中注定,496898,2972,5578,3054,2019-05-27 20:43:24,01:12
44,BV1J4411L7bf,38351330,171,电子竞技,魔改lol同人-疾风孤儿传之河边弃婴,497086,1465,2558,1246,2019-05-23 17:38:08,01:12
