mid,name,view,likes,follower,type,work_sum,sec_type
17409016,爱做饭的芋头SAMA,143451614,9147520,3806180,生活区,35,美食圈
7552204,啊吗粽,128094138,11755894,2208595,生活区,97,日常
38351330,阿幕降临,140447648,8281600,1809819,动画区,51,综合
22141287,波桑吃遍世界,87504914,5169134,1369696,美食区,73,日常
113362335,宝剑嫂,117381791,10910288,2784606,时尚区,120,美妆
3682229,长歌与小见见,411240588,8251577,1989123,游戏区,329,电子竞技
585267,‘-纯黑-,325071845,4244416,2955095,游戏区,88,单机游戏
94114029,吃货请闭眼,152770635,4780952,1475350,美食区,134,美食圈
216623621,吃货明3,256808966,4301702,1300894,游戏区,287,美食圈
19071708,潮汕好男人,160683716,6828250,1487463,鬼畜区,39,鬼畜调教
2403047,嘟督不噶油,229842353,9380796,2684989,游戏区,114,单机游戏
234256,逗川kshadow,148312062,3734215,1677748,游戏区,78,单机游戏
285499073,东尼ookii,172569088,15378368,2426142,生活区,113,日常
17819768,电影最TOP,195529405,4285530,2721387,影视区,78,影视杂谈
99157282,盗月社食遇记,274484586,10931609,2836260,美食区,136,美食圈
40966108,倒悬的橘子,108314110,4717517,1059806,鬼畜区,76,鬼畜调教
2920960,大祥哥来了,334513595,16029700,3663304,美食区,113,美食圈
1918296,丰兄来了,83329842,6465492,1364515,游戏区,85,影视杂谈
72270557,芳斯塔芙,61628402,3848788,1299299,科技区,55,趣味科普人文
63231,泛式,171745471,10453055,2796658,动画区,69,综合
4474705,孤独的美食基,172492607,7794464,2888574,美食区,55,美食圈
216025,尕丶天堂,111751745,3498521,1302144,动画区,78,综合
2206456,花少北丶,192426224,10649963,3261090,游戏区,59,单机游戏
9008159,花花与三猫CatLive,297590172,21734256,2859178,生活区,84,动物圈
43536,黑桐谷歌,242184130,6098638,2163805,游戏区,139,单机游戏
14254182,黑椒墨鱼,96928422,3132187,1311682,游戏区,84,综合
7792521,还有一天就放假了,162064027,6344084,1632304,鬼畜区,68,人力VOCALOID
36825256,槐安遗梦,104918074,5488098,1228542,游戏区,39,网络游戏
3379951,ilem,81239435,2554607,1359941,音乐区,19,VOCALOID·UTAU
9824766,敬汉卿,1086701464,53725607,8411236,生活区,259,搞笑
104207471,杰里德Jared,103625530,4667780,1889548,生活区,62,搞笑
337521240,记录生活的蛋黄派,328508258,19594460,3668333,美食区,239,美食圈
25876945,极客湾Geekerwan,52611861,2250770,1274941,数码区,66,电脑装机
466272,机智的党妹,240124729,18016583,5440979,时尚区,47,美妆
1893045,狂风桑,85485574,3681524,1461309,音乐区,34,搞笑
3766866,科技美学,265358598,6019887,2718323,数码区,377,手机平板
279991456,靠谱电竞,144340195,9867244,1733535,游戏区,116,电子竞技
16794231,靠脸吃饭的徐大王,644692337,15592303,3473753,游戏区,194,电子竞技
10345615,Kevin英语情报局,85190308,3160585,1398263,生活区,49,搞笑
16853896,kei和marin,88597293,3447017,1365749,生活区,71,日常
423442,KBShinya,120432936,4984515,1618238,音乐区,77,翻唱
51896064,罗汉解说,113025371,12451582,2611070,游戏区,41,电子竞技
79061224,刘老师说电影,319654295,9068562,2589305,影视区,190,影视杂谈
282994,泠鸢yousa,74317952,5288783,2377283,音乐区,25,翻唱
