mid,words
38351330,"{'沙雕': 1.0, '动画': 0.7111891092951986, '疾风': 0.4768142079505628, '小红': 0.471223914984058, '万物': 0.38658578851809017, '约定': 0.2891099240985294, '亚索': 0.2866400868860567, '雪花': 0.26885099046018107, '出国': 0.26673820577830976, '合群': 0.2599947487690258, '哆事': 0.2584433111998953, '年终总结': 0.2577851386810161, '讲台': 0.25758967362721275, '零分': 0.2559170929359118, '校园': 0.2551056372874621, '攀比': 0.2550260411457999, '风气': 0.25425135166974944, '现状': 0.2493720116232085, '儿童节': 0.24654724940969217, '小女孩': 0.24480856592707506,}"
17409016,"{'芋头': 1.0, '好吃': 0.14507235322360548, '学会': 0.13608609040264952, '料理': 0.12307888560295902, '做出': 0.12035343780850727, '美食': 0.11298096273804778, '朋友': 0.10648262007438648, '樱花': 0.10565890996624316, '咖喱': 0.09148998779401309, '感冒': 0.09001836236447436, '需要': 0.09000056268878015, '超高': 0.08933107075837264, '月饼': 0.08931327216464893, '洗脑': 0.08649868753329404, '流心': 0.08268412716687874, '饭团': 0.08116120602188705, '水果': 0.08051361282235735, '好喝': 0.07580272371755724, '蛋糕': 0.0743129621280263, '美国': 0.07165886096767488,}"
19071708,"{'儿女': 1.0, '面筋': 0.8621506840151528, '鬼畜': 0.8095605678155872, '有毒': 0.6747777445260946, '神医': 0.6301563004130478, '爱情': 0.6081586272541314, '魔性': 0.5667547951733767, '恋爱': 0.5389763148814822, '陌生人': 0.5349009109593981, '手套': 0.4794094374134576, '防止': 0.45813893411795725, '看过': 0.4441547609062619, '老家': 0.44082948477788453, '循环': 0.43497412553068177, '老百姓': 0.4280593132202817, '有点': 0.42292516788253354, '菠萝': 0.4018894878730635, '老师': 0.3975510519060778, '满地': 0.3851765973089118, '生僻字': 0.38033422980726733,}"
22141287,"{'小伙': 1.0, '试吃': 0.8056600175819636, '开箱': 0.6184639905264143, '波桑': 0.5634811677365139, '中国': 0.4763782724616762, '泡面': 0.47390806704598826, '粉丝': 0.37492041425478756, '小橘': 0.3606965887565714, '学生': 0.32060270732016233, '越南': 0.3127314363652377, '发生': 0.3059673294836837, '军粮': 0.29808686076048396, '体验': 0.274386486511561, '游戏': 0.27151121629953445, '还原': 0.2633082520850498, '自闭': 0.2623550210794258, '旅行': 0.2590377957709403, '老板': 0.25874876695841353, '肥宅': 0.24296905906591476, '礼物': 0.2379884027318728,}"
7552204,"{'挑战': 1.0, '女友': 0.8560367401879095, '兄弟': 0.640113278591222, '香港': 0.6253879829877587, '变形记': 0.6244266703986054, '粉丝': 0.58028732364578, '上海': 0.5455226300058161, '爆笑': 0.48686545991725866, '韩国': 0.43986264305134065, '视频': 0.4132936179896021, '意大利': 0.41294219556600736, '泰国': 0.40134522072672907, '衣服': 0.4013389139020524, '孬物': 0.3861330421461677, '出门': 0.38380743663002465, '游戏': 0.3753902741682183, '体验': 0.36525410157197524, '干货': 0.3357526234130103, '参加': 0.33413798920406157, '农村': 0.32297384875285035,}"
113362335,"{'分享': 1.0, '恋爱': 0.4438144089568951, '化妆': 0.4386615965971166, '妆容': 0.39603000441489505, '护肤': 0.32561364508896545, '聊聊': 0.28047999399883516, '男朋友': 0.27882241292678905, '干货': 0.2672113034677515, '新手': 0.25376140856451196, '测评': 0.24680614701765188, '产品': 0.23616567605392055, '学生': 0.22587115384830928, '实测': 0.2247473692459141, '平价': 0.21547024051784314, '彩妆': 0.21506311759287386, '结果': 0.20030438929604685, '女孩': 0.19558401889773536, '黄皮': 0.18907621297610613, '购物': 0.18725035542372584, '技巧': 0.1866347210366217,}"
285499073,"{'挑战': 1.0, '差点': 0.8299254438671299, '粉丝': 0.6270733590806775, '小伙': 0.48258504656433227, '视频': 0.4091549515489474, '女装': 0.38388345470893614, '大家': 0.37944543998394276, '结果': 0.36508324720544866, '孩子': 0.3543162255231595, '全程': 0.35332330561823594, '游戏': 0.35021790288661503, '准备': 0.304398535879878, '高能': 0.2891992865742415, '体验': 0.2569821643346032, '做好': 0.24855401902749125, '礼物': 0.2416096823774829, '通关': 0.2357017938090064, '沙雕': 0.22943167242462226, '自闭': 0.22648874513034736, '发现': 0.2208522185816629,}"
94114029,"{'北京': 1.0, '吃货': 0.27756542188554945, '重庆': 0.2560742036213587, '好吃': 0.15202864744958566, '闭眼': 0.14318344813885012, '成都': 0.13768797678450256, '小时': 0.13350888076489612, '味道': 0.13245025855196363, '小吃': 0.13232729328144488, '美食': 0.13015565663228276, '广州': 0.12815081871865763, '餐厅': 0.11997871681246855, '探店': 0.11112250626823478, '啤酒': 0.10729946222364906, '扬州': 0.10584489346266109, '老字号': 0.102156126246754, '排队': 0.10169782916835103, '天津': 0.09716880261792023, '喝酒': 0.09595633774747823, '肥肠': 0.09348046946737976,}"
234256,"{'求生': 1.0, '裸体': 0.7676216142523886, '游戏': 0.47427697597475316, '守望': 0.3727465774255567, '先锋': 0.3254233300071568, '能否': 0.2750563448587713, '智障': 0.2565218220505246, '沙雕': 0.2195234519959468, '玩家': 0.20724747500543542, '朋友': 0.16354026380691924, '起来': 0.14742088032519668, '没有': 0.13654094129122257, '比赛': 0.12705360513536526, '画师': 0.12654061006617195, '人工': 0.12485940579555478, '挑战': 0.11427813298709075, '电脑': 0.10411468442825594, '身体': 0.09954492576350824, '战术': 0.09602758114757844, '敌人': 0.0949270663514212,}"
40966108,"{'鬼畜': 1.0, '说唱': 0.45198134643099225, '橘子': 0.383137087844352, '翻唱': 0.2896905038526791, '中国': 0.2863020132557398, '告白': 0.24519959763657007, '版本': 0.18584668815674088, '面筋': 0.1833096793094468, '演绎': 0.18284089457682745, '粉丝': 0.16863260554443682, '神曲': 0.1561813912352162, '社会': 0.14018710720938182, '动感': 0.1367070614886893, '大爷': 0.12933817004611392, '区主': 0.12843558529412044, '村口': 0.12691799842727503, '进来': 0.11878231317018854, '洗脑': 0.11570799470664589, '手套': 0.11268785420007031, '炸裂': 0.11217089562134874,}"
2403047,"{'解说': 1.0, '咆哮': 0.9235647924622431, '游戏': 0.3961798314441081, '少女': 0.19954354860207765, '队友': 0.17899857373107336, '老子': 0.1494820670322057, '逃生': 0.14174334649734152, '丧病': 0.12929124820064444, '战神': 0.12846703728320683, '鬼畜': 0.12784645264713912, '爆笑': 0.12693700102843958, '猛男': 0.11966407552157501, '配音': 0.11883084377238581, '黑马': 0.11156277292486069, '人役': 0.107918145021674, '附身': 0.1071282903561716, '人类': 0.10695131092008311, '年度': 0.10517088999593423, '世界': 0.10044703513830172, '恶灵': 0.09888735989056088,}"
2920960,"{'试吃': 1.0, '好吃': 0.2748467670217038, '顶级': 0.20500697001315993, '世界': 0.13087018046115012, '刺身': 0.11457594987117518, '法国': 0.11393534434679581, '日本': 0.1104105599707217, '鱼子酱': 0.10118763011588429, '皇帝': 0.08006386947786456, '海鲜': 0.0762779286816718, '区别': 0.07523121068222714, '澳洲': 0.07500309479628954, '挑战': 0.07314736365596518, '北京': 0.07168325282572231, '吃法': 0.06409099526041603, '相差': 0.06353923188330643, '感觉': 0.06242359368435362, '价格': 0.06225336731041439, '过瘾': 0.061343171729032656, '大闸蟹': 0.05913779018099462,}"
72270557,"{'鬼谷': 1.0, '闲谈': 0.5852273993875935, '动物': 0.1646400645265769, '水母': 0.1596480728036406, '突破': 0.14885363681354052, '粉丝': 0.14394426748166253, '庆典': 0.1300473440015992, '科学': 0.11757106722415721, '八卦': 0.09517439787918103, '实验': 0.08831898177554173, '演化': 0.08231521505001795, '地铁': 0.08008363106263192, '胚胎': 0.07987710059690666, '鱼类': 0.07888103546996662, '争霸': 0.07706525152207336, '国家': 0.07587253187995713, '充值': 0.07529104884094154, '遨游': 0.07093982375047207, '沙雕': 0.07074806060806885, '主角': 0.0679276473564774,}"
17819768,"{'电影': 1.0, '经典': 0.5914466093401562, '细读': 0.37500894441004723, '盘点': 0.2756582026110039, '大盘': 0.08988828895339618, '年度': 0.06220101340088719, '国产': 0.051369363842555964, '影史': 0.04443800494748409, '独家': 0.04305950339998555, '佳片': 0.03928567233984355, '全盘': 0.03482307745614358, '人性': 0.03226061487663693, '巅峰': 0.032073568821200965, '好看': 0.03137336610184832, '热血': 0.031130201380044725, '韩国': 0.028804633853618825, '中国': 0.028239416396702258, '英雄': 0.028145783412739808, '人生': 0.02749033530433395, '科幻': 0.027339511625507268,}"
1918296,"{'文盲': 1.0, '游戏': 0.5532549290936218, '男子': 0.4612474727163533, '文言文': 0.3844036423480897, '小学文化': 0.28930871708906164, '打开': 0.25836909237017514, '海绵': 0.23990073456510014, '有毒': 0.16892731164815566, '讽刺': 0.12300679570479028, '女人': 0.08181541968310811, '配音': 0.08097220772707171, '方式': 0.08065424349418542, '世界': 0.07961584642697622, '文论': 0.07676624045955914, '成为': 0.07313783372029188, '沙雕': 0.06784724721746492, '发生': 0.06504036327706653, '奇葩': 0.060531818929870675, '变态': 0.06006964910694922, '泰国': 0.05896924515707838,}"
